Автомобильн.промышл.|седельно-сцепное устройство (ССУ)|2016|100%|0%
Автомобильн.промышл.|гидравлические аксиально-поршневые насосы и моторы|2020|100%|0%
Автомобильн.промышл.|быстроразъемные соединители для пневмотормозных систем|2017|100%|0%
Автомобильн.промышл.|быстроразъемные коннекторы для дизельных топливных систем|2017|100%|0%
Автомобильн.промышл.|блок-фары на светодиодных модулях с ДХО|2017|100%|0%
Автомобильн.промышл.|блок-фары на светодиодных модулях с ДХО|2017|100%|0%
Автомобильн.промышл.|"постройка окрасочной камеры - проект ""Даймлер"""|2017|100%|0%
Автомобильн.промышл.|развитие производства крыльчатки|2017|100%|0%
Автомобильн.промышл.|"Создание конструкций и производства электронно- управляемых топливоподающих систем аккумуляторного типа для высокооборотныз дизельных двигателей 4,5,6 экологических классов"""|2018|100%|0%
Автомобильн.промышл.|Разработка и серийное производство многофункционального шасси с использованием компонентов тягового электропривода отечественного производства|2017|100%|30%
Автомобильн.промышл.|Разработка и серийное производство модельного ряда самоходных кресел колясок для людей с ограниченными возможностями с использованием компонентов запатентованного тягового электропривода отечественного производства |2017|95%|50%
Автомобильн.промышл.|Разработка и серийное производство  модульной платформы для мототехники|2017|90%|30%
Автомобильн.промышл.|Разработка и серийное производство  системы топливоподачи нового поколения для дизельных двигателей 50-2000 лошадиных сил с выполнением норм экологического класса 5 и выше|2017|100%|30%
Автомобильн.промышл.|Средства автотранспортные грузовые с поршневым двигателем внутреннего сгорания с искровым зажиганием; прочие грузовые транспортные средства, новые|2022|14%|9%
Автомобильн.промышл.|Накладки и колодки тормозные для колесных транспортных средств|2022|60%|40%
Автомобильн.промышл.|Прокладочные и уплотнительные материалы|2022|70%|50%
Строительно-дорожн. техника*|Организация производства мобильного многофункционального дробильносортировочного оборудования|2020|100%|50%
Строительно-дорожн. техника*|Организация крупносерийного производства крано-манипуляторных установок для выполнения строительных и коммунальных работ|2017|72%|22%
Строительно-дорожн. техника*|Разработка и освоение промышленного производства многофункционального экскаватора-погрузчика на колесном шасси|2017|100%|80%
Строительно-дорожн. техника*|Освоение серийного производства комплекта импортозамещающей промышленной техники (гусеничных бульдозеров, экскаваторов эксплуатационной массой до 50 тонн, фронтальных погрузчиков и карьерных самосвалов)|2021|100%|86%
Строительно-дорожн. техника*||||
Строительно-дорожн. техника*||||
Строительно-дорожн. техника*|Организация производства специальных машин для строительства и содержания дорожного полотна|2025|100%|50%
Строительно-дорожн. техника*|Разработка и серийное производство многофункционального шасси с использованием компонентов тягового электропривода|2017|100%|75%
Строительно-дорожн. техника*|Организация и внедрение в серийное производство малогабаритной энергоэффективной модульной платформы повышенной маневренности для коммунального хозяйства, а также содержания и обслуживания аэродромов|2020|99%|50%
Строительно-дорожн. техника*|Организация производства серии инновационных кранов мирового уровня грузоподъемностью 25-100 тонн с повышенными эксплуатационными характеристиками, а также автогидроподъемников, с использованием в качестве носителя колесных шасси|2021|100%|70%
Строительно-дорожн. техника*|Создание перспективного высокопроизводительного строительнодорожного самоходного комплекса для производства щебёнчатого покрытия|2020|100%|50%
Строительно-дорожн. техника*|Организация производства высокоресурсных гидравлических приводов, планетарных мотор-редукторов, опорно-поворотных устройств и комплектующих гидравлического оборудования для сельскохозяйственной, строительнодорожной и коммунальной техники|2021|95%|50%
Строительно-дорожн. техника*|Разработка и серийное производство модульной асфальтобегоносмесительной установки полумобильного типа МАБУ-80|2021|100%|70%
Строительно-дорожн. техника*|Разработка и освоение серийного производства изотермических прицепов и полуприцепов, а также прицепов и полуприцепов рефрижераторов|2025|93%|50%
Строительно-дорожн. техника*|Разработка и освоение серийного производства компонентов для двигателя внутреннего сгорания|2025|85%|75%
Детские товары|Мебель деревянная|2020|79%|47%
Детские товары|Мебель из пластмасс|2020|70%|65%
Детские товары|Детские матрасы, пружинные, беспружинные из экологически чистых материалов|2021|70%|20%
Детские товары|Посуда детская из пластмасс|2020|93%|80%
Детские товары|Санитарно-гигиенические изделия детские из пластмасс|2020|100%|80%
Детские товары|Игры и игрушки|2020|81%|64%
Детские товары|Пишущие принадлежности|2020|75%|50%
Детские товары|Товары для детского творчества|2020|70%|65%
Детские товары|Учебное оборудование|2020|52%|19%
Детские товары|Товары спортивные для детей|2020|67%|21%
Детские товары|Мыло, парфюмерные и косметические средства|2020|78%|64%
Детские товары|Одежда для детей и аксессуары одежды из прочих текстильных материалов|2021|80%|65%
Детские товары|Детская обувь|2020|60%|57%
Легкая промышленность|Производство хлопчатобумажных и смесовых тканей (полного цикла). Производство пряжи|2015-2022 годы|90%|80%
Легкая промышленность|Создание многофункционального вертикальноинтегрированного текстильного производства по выпуску защитных и технических тканей, а также производства высокотехнологичных тканей для спецодежды и домашнего текстиля различного смесового состава, в том числе ассортимента льняных и льносодержащих тканей|2015-2020 годы|100%|40%
Легкая промышленность|Производство тканей на основе синтетических волокон (ткацкое и отделочное производства)|2015-2018 годы|100%|30%
Легкая промышленность|Производство полиамидных тканей с улучшенными свойствами для ведомственной и специальной одежды с использованием отечественных полиамидных волокон|2014-2020 годы|100%|50%
Легкая промышленность|1.    Разработка и производство высокотехнологичных текстильных материалов на основе натуральных и химических волокон и нитей для специальной защитной одежды. 2.    Разработка и производство технического текстиля двойного назначения.|2014-2021 годы|70%|20%
Легкая промышленность|Текстильная продукция медицинского назначения (перевязочные материалы). Марля медицинская, в том числе из смесовых пряж|2015-2019 годы|40%|25%
Легкая промышленность|Производство постельных принадлежностей|2015-2019 годы|65%|45%
Легкая промышленность|Создание комплексного производства обивочных материалов для автомобильной промышленности, в том числе с использованием натуральных волокон|2015-2020 годы|98%|70%
Легкая промышленность|Производство высокотехнологичных нетканых материалов для промышленных предприятий|2014-2018 годы|15%|0%
Легкая промышленность|1.    Шумо-теплоизоляционный материал для автомобильной промышленности. 2.    Прокладочный материал для мебельной промышленности. 3. Геотекстиль|2012-2022 годы|80%|30%
Легкая промышленность|Создание комплексного производства нетканых материалов и пряжи на основе регенерированных волокон|2015-2020 годы|100%|50%
Легкая промышленность|Производство трикотажных флисовых полотен|2015-2020 годы|100%|65%
Легкая промышленность|Серийное производство трикотажного полотна из ПЭТФ с его последующей отделкой и изготовлением текстильной продукции (пледы, покрывала, КПБ, одежда)|2015-2019 годы|90%|75%
Легкая промышленность|Переработка шерсти, производство пряжи, в том числе смесовых пряж, и трикотажных изделий с использованием инновационных технологий|2015-2020 годы|100%|75%
Легкая промышленность|Производство детской одежды (школьная форма)|2014-2020 годы|70%|30%
Легкая промышленность|Разработка и производство многокомпонентной инновационной подошвы и вкладной стельки для различного вида обуви|2016-2026 годы|100%|35%
Легкая промышленность|Увеличение действующего производства детской обуви|2015-2017 годы|90%|80%
Легкая промышленность|Производство обуви любого назначения. Производство деталей верха обуви, подошв, стелек, каблуков и т.д. с использованием различных технологий (Обувь водонепроницаемая, обувь с верхом из резины, обувь с верхом из кожи, обувь с верхом из текстильных материалов, обувь спортивная, обувь защитная прочая, специальная обувь на двухслойной полиуретановой подошве)|2015-2026 годы|80%|50%
Легкая промышленность|Организация производства натуральных кож (автомобильные, авиационные, для обуви и мебели)|2015-2022 годы|100%|65%
Легкая промышленность|Производство ниток швейных и ниток для рукоделия полного технологического цикла с использованием отечественного сырья ПЭТФ-гранулята|2015-2020 годы|100%|70%
Легкая промышленность|Разработка и серийное производство инновационной утепленной и неутепленной рабочей и специальной одежды|2015-2020 годы|90%|60%
Легкая промышленность|1. Производство текстильных и кожевенных материалов на основе натуральных, синтетических и химических волокон и натуральных и искусственных кож (Канаты и тросы для буксировки, швартовки якорных устройств на судах; стропы парашютов, тросы для альпинизма). 2. Материалы (в т.ч. полимерно-текстильные) нового поколения. (Ламинатные и композиционные материалы для бронеэлементов СИЗ, для средств индивидуальной защиты и защитной одежды, элементов конструкции спецтехники и спортивного инвентаря; полимерные рукава с двухсторонним покрытием из нитрильного каучука и ПВХ)|2016-2021 годы|100%|70%
Легкая промышленность|Производство нательного белья|2016-2021 годы|85%|70%
Лесопромышл.комплекс|Целлюлоза древесная, растворимые сорта; целлюлоза древесная натронная или сульфатная (вискозное волокно).|2025|100%|50%
Лесопромышл.комплекс|Бумага и картон для письма, печати или прочих графических целей, мелованные каолином или прочими неорганическими веществами|2025|95%|50%
Лесопромышл.комплекс|Крафт-бумага (кроме используемой для письма, печати или прочих графических целей), мелованная каолином или прочими неорганическими веществами|2025|90%|50%
Лесопромышл.комплекс|Бумага, картон, вата целлюлозная и полотно из целлюлозных волоки мелованные с пропиткой, покрытием, окрашенной поверхностью или с отпечатанными знаками (рисунком) в рулонах или листах|2025|100%|50%
Лесопромышл.комплекс|Изделия из бумаги и картона прочие (папиросная бумага)|2025|100%|50%
Лесопромышл.комплекс|Бумага и картон гофрированные и тара бумажная и картонная (упаковка из бумаги и картона многослойные, мелованные)|2025|85%|50%
Лесопромышл.комплекс|Обои|2025|80%|50%
Лесопромышл.комплекс|Мебель|2025|49%|40%
Машиностр.для пищ.и перабат.промышл.|Разработка и освоение серийного производства комплекта мельничного оборудования нового поколения на базе экологически безопасных, высокоэффективных ресурсосберегаюших технологий для переработки зерна в составе вальцовых станков нового поколения в двухуровневом исполнении с глиной валков 800 мм, 1000 мм, 1250 мм с программным управлением, автоматизированных установок для увлажнения, измельчения и просеивания зерна в потоке, комбинированных пневмоситовых оптических сортировщиков зерна и местных аспирационных установок|2018|80%|40%
Машиностр.для пищ.и перабат.промышл.|Разработка и освоение серийного производства комплекта оборудования нового поколения для сушки зерновых культур на базе экологически безопасных высокоэффективных ресурсосберегающих технологий и оборудования для послеуборочной обработки зерновых и масличных культур|2018|80%|25%
Машиностр.для пищ.и перабат.промышл.|Разработка автоматизированных производственных комплексов для выработки массовых и лечебно- профилактических сортов хлебобулочных изделий и ингредиентов на базе гибких технологических линий с освоением производства нового конкурентоспособного ресурсосберегающего оборудования, в том числе импортозамещающих автоматизированных комплексов для порционного тестоприготовления, оборудования тесторазделочных участков, спиральных систем для охлаждения готовой продукции, а также освоение серийною производства параметрического ряда высокоэффективных ярусных и тупиковых печей и расстойно-печных комплексов различной производительности|2020|84%|25%
Машиностр.для пищ.и перабат.промышл.|Разработка и освоение серийного выпуска комплектов технологического оборудования, средств механизации и автоматизации по изготовлению колбасных изделий и мясопродуктов|2021|92%|40%
Машиностр.для пищ.и перабат.промышл.|Разработка технологии и оборудования для глубокой переработки зерна злаковых культур на мукомольных заводах различной производительности и освоение серийного производства оборудования|2018|100%|70%
Машиностр.для пищ.и перабат.промышл.|Создание и организация серийного производства металлических силосов нового поколения, обеспечивающих сохранение качества и безопасность зерна, предотвращение его микробиологической порчи, самосогревания, самовозгорания, прорастания и поражения вредной энтомофауной|2017|75%|40%
Машиностр.для пищ.и перабат.промышл.|Разработка и серийное производство высокотехнологичного и высокопроизводительного упаковочного комплекса для фасовки и упаковки сыпучих пищевых продуктов в пакеты из полимерных термосвариваемых пленок и групповой упаковки|2018|80%|40%
Машиностр.для пищ.и перабат.промышл.|Разработка импортозамещающего конкурентоспособного оборудования для перерабатывающей промышленности и освоение его серийного выпуска, в том числе -создание автомата закаточного для металлических круглых банок диаметром до 99 мм. производительностью до 200 банок в минуту, - создание автомата закаточного для металлических фигурных и овальных банок, - создание автомата наполнительного для мясных продуктов, - создание автомата наполнительного для малых доз жидких продуктов,|2019|85%|25%
Машиностр.для пищ.и перабат.промышл.|Освоение производства мотор-редукторов в номенклатуре и ассортименте, удовлетворяющем спрос российского рынка для комплектации оборудования пищевой, комбикормовой, мельнично элеваторной и других отраслей промышленности|2018|80%|30%
Машиностр.для пищ.и перабат.промышл.|Разработка и запуск в серийное производство разравнивающих механизмов для складов напольного хранения из железобетона с целью автоматизации загрузки, выгрузки и хранения зерна|2017|98%|30%
Машиностр.для пищ.и перабат.промышл.|Создание комплексов овощесушильного производства на базе современных энергоэффективных сушильных установок|2018|90%|40%
Машиностр.для пищ.и перабат.промышл.|Разработка и освоение серийного выпуска стандартизованных концевых изделий и запорной арматуры для нержавеющих трубопроводов дли предприятий пишевой и перерабатывающей промышленности - затворы дисковые DN 32-ЮОмм. - муфтовые соединения DN 15-ЮОмм. - тройники DN 1 5-10Омм.  отводы DN 15-100MM. - переходы конические. - пневмоуправляемые затворы DN 32 100мм|2020|91%|20%
Машиностр.для пищ.и перабат.промышл.|Создание и организация серийного производства асептических фасовочных линий, машин и оборудования для молочной и смежных (консервной и масложировой) отраслей пищевой и перерабатывающей промышленности в целях импортозамешения|2018|90%|20%
Машиностр.для пищ.и перабат.промышл.|Разработка комплекта оборудования для производства элитных сыров|2019|90%|50%
Машиностр.для пищ.и перабат.промышл.|Разработка и организация производства центробежных сепараторов для производства молочных продуктов, соков, растительных масел, виноматериалов производительностью до 15 тонн в час|2018|63%|35%
